N,M,K,T,Time(ms),,,,,N,M,K,T,GEMM0 Time (ms),GEMM1 Time (ms),Total Time (ms),,(NF-F)/F,savings=2MN/(2MN+MK+KN+MT+TN)
1024,4096,128,2048,0.306229,,,,,1024,4096,128,2048,0.0158342,0.201483,0.2173172,,-0.290344154,0.429530201
1024,2048,1024,1024,0.221945,,,,,1024,2048,1024,1024,0.0786621,0.0788253,0.1574874,,-0.290421501,0.4
1024,1024,4096,2048,0.534521,,,,,1024,1024,4096,2048,0.300158,0.0789818,0.3791398,,-0.290692414,0.142857143
128,8192,2048,4096,0.543432,,,,,128,8192,2048,4096,0.24432,0.13953,0.38385,,-0.293655876,0.039408867
1024,2048,8192,8192,2.16147,,,,,1024,2048,8192,8192,1.07907,0.44176,1.52083,,-0.296390882,0.076923077
1024,2048,4096,1024,0.536861,,,,,1024,2048,4096,1024,0.296981,0.079376,0.376357,,-0.298967517,0.210526316
128,2048,1024,1024,0.1312,,,,,128,2048,1024,1024,0.0774742,0.0134122,0.0908864,,-0.307268293,0.105263158
512,4096,4096,8192,1.36778,,,,,512,4096,4096,8192,0.523158,0.423535,0.946693,,-0.307861644,0.068965517
256,2048,1024,1024,0.15071,,,,,256,2048,1024,1024,0.0810285,0.0230467,0.1040752,,-0.309434012,0.181818182
256,8192,128,4096,0.37598,,,,,256,8192,128,4096,0.0131594,0.24544,0.2585994,,-0.312199053,0.105176664
128,1024,1024,1024,0.131855,,,,,128,1024,1024,1024,0.0769069,0.0132566,0.0901635,,-0.316192029,0.1
256,4096,1024,1024,0.155545,,,,,256,4096,1024,1024,0.079079,0.0268022,0.1058812,,-0.319288952,0.19047619
512,2048,8192,8192,1.9427,,,,,512,2048,8192,8192,1.09027,0.229912,1.320182,,-0.320439594,0.047619048
256,8192,1024,1024,0.191527,,,,,256,8192,1024,1024,0.078865,0.0511869,0.1300519,,-0.320973544,0.195121951
256,8192,2048,8192,0.978508,,,,,256,8192,2048,8192,0.239532,0.42386,0.663392,,-0.322037224,0.046242775
1024,4096,2048,2048,0.560228,,,,,1024,4096,2048,2048,0.176874,0.202283,0.379157,,-0.323209479,0.285714286
256,4096,4096,4096,0.880719,,,,,256,4096,4096,4096,0.470617,0.124428,0.595045,,-0.324364525,0.055555556
256,1024,1024,1024,0.149456,,,,,256,1024,1024,1024,0.0775635,0.0230518,0.1006153,,-0.326789824,0.166666667
128,2048,4096,2048,0.464979,,,,,128,2048,4096,2048,0.296564,0.0158454,0.3124094,,-0.328121485,0.037735849
128,8192,128,1024,0.0640829,,,,,128,8192,128,1024,0.013192,0.0297408,0.0429328,,-0.330042804,0.179523142
128,4096,4096,2048,0.675486,,,,,128,4096,4096,2048,0.417795,0.029712,0.447507,,-0.337503664,0.038834951
256,8192,1024,4096,0.491025,,,,,256,8192,1024,4096,0.0787549,0.245308,0.3240629,,-0.340027697,0.08839779
512,4096,1024,1024,0.194119,,,,,512,4096,1024,1024,0.0789306,0.0482838,0.1272144,,-0.344657658,0.307692308
512,1024,8192,2048,1.01964,,,,,512,1024,8192,2048,0.623442,0.04216,0.665602,,-0.347218626,0.0625
256,8192,1024,2048,0.314582,,,,,256,8192,1024,2048,0.0786762,0.12517,0.2038462,,-0.352009333,0.139130435
1024,4096,128,1024,0.16565,,,,,1024,4096,128,1024,0.0158394,0.0914557,0.1072951,,-0.352278298,0.587155963
128,2048,2048,2048,0.260612,,,,,128,2048,2048,2048,0.150748,0.0158835,0.1666315,,-0.36061463,0.055555556
128,1024,2048,2048,0.257772,,,,,128,1024,2048,2048,0.148792,0.0134333,0.1622253,,-0.37066361,0.052631579
1024,2048,128,1024,0.146418,,,,,1024,2048,128,1024,0.0133859,0.0786573,0.0920432,,-0.371366908,0.542372881
256,2048,8192,8192,1.82466,,,,,256,2048,8192,8192,1.01521,0.123019,1.138229,,-0.376196661,0.027027027
128,8192,1024,1024,0.175079,,,,,128,8192,1024,1024,0.0790128,0.0295981,0.1086109,,-0.379646331,0.109589041
128,2048,8192,4096,1.39655,,,,,128,2048,8192,4096,0.831583,0.02972,0.861303,,-0.383263757,0.019230769
512,1024,2048,2048,0.330236,,,,,512,1024,2048,2048,0.159702,0.0419738,0.2016758,,-0.389297957,0.142857143
128,8192,2048,8192,0.811368,,,,,128,8192,2048,8192,0.253773,0.241162,0.494935,,-0.389999359,0.024024024
256,2048,2048,2048,0.302666,,,,,256,2048,2048,2048,0.157533,0.0267552,0.1842882,,-0.391116941,0.1
1024,1024,8192,8192,2.14503,,,,,1024,1024,8192,8192,1.08164,0.22419,1.30583,,-0.391229959,0.058823529
128,4096,4096,4096,0.81261,,,,,128,4096,4096,4096,0.417312,0.0699043,0.4872163,,-0.400430342,0.029411765
1024,1024,2048,2048,0.387047,,,,,1024,1024,2048,2048,0.152691,0.0791731,0.2318641,,-0.400940713,0.2
256,8192,128,8192,0.732195,,,,,256,8192,128,8192,0.0132778,0.425249,0.4385268,,-0.401079221,0.056313242
512,2048,2048,2048,0.338941,,,,,512,2048,2048,2048,0.154462,0.0485043,0.2029663,,-0.401175131,0.166666667
256,8192,1024,8192,0.844474,,,,,256,8192,1024,8192,0.0788675,0.423604,0.5024715,,-0.404988786,0.051118211
128,1024,4096,4096,0.513276,,,,,128,1024,4096,4096,0.289403,0.0157958,0.3051988,,-0.405390472,0.027027027
256,1024,2048,2048,0.295555,,,,,256,1024,2048,2048,0.151124,0.0230723,0.1741963,,-0.410612915,0.090909091
512,4096,1024,2048,0.296473,,,,,512,4096,1024,2048,0.0789629,0.0936931,0.172656,,-0.417633309,0.228571429
128,8192,128,2048,0.145624,,,,,128,8192,128,2048,0.0133379,0.0707398,0.0840777,,-0.422638439,0.103811841
256,4096,4096,8192,1.21913,,,,,256,4096,4096,8192,0.472399,0.225675,0.698074,,-0.427399867,0.037735849
512,4096,1024,4096,0.552453,,,,,512,4096,1024,4096,0.0788365,0.233443,0.3122795,,-0.43474015,0.150943396
256,1024,8192,4096,1.09252,,,,,256,1024,8192,4096,0.590206,0.0268832,0.6170892,,-0.435168967,0.032258065
512,4096,2048,4096,0.681272,,,,,512,4096,2048,4096,0.151677,0.23292,0.384597,,-0.435472176,0.129032258
512,2048,128,1024,0.098735,,,,,512,2048,128,1024,0.0133523,0.0420486,0.0554009,,-0.438892996,0.415584416
1024,2048,2048,2048,0.43587,,,,,1024,2048,2048,2048,0.152084,0.0912688,0.2433528,,-0.441684906,0.25
512,4096,128,4096,0.441434,,,,,512,4096,128,4096,0.0133843,0.232968,0.2463523,,-0.441927219,0.177285319
512,1024,128,1024,0.0993376,,,,,512,1024,128,1024,0.0132362,0.041937,0.0551732,,-0.444588957,0.372093023
512,2048,4096,2048,0.627435,,,,,512,2048,4096,2048,0.300094,0.0483402,0.3484342,,-0.44466885,0.117647059
512,4096,2048,2048,0.445292,,,,,512,4096,2048,2048,0.151786,0.0937418,0.2455278,,-0.448613943,0.181818182
512,1024,4096,4096,0.652811,,,,,512,1024,4096,4096,0.310648,0.0483258,0.3589738,,-0.450110675,0.076923077
128,4096,1024,2048,0.202404,,,,,128,4096,1024,2048,0.0811258,0.0297414,0.1108672,,-0.452247979,0.074766355
256,1024,4096,4096,0.590925,,,,,256,1024,4096,4096,0.295178,0.0269258,0.3221038,,-0.454915937,0.047619048
128,8192,1024,2048,0.27496,,,,,128,8192,1024,2048,0.0789558,0.070551,0.1495068,,-0.45625982,0.075829384
128,2048,8192,8192,1.65631,,,,,128,2048,8192,8192,0.82552,0.0690413,0.8945613,,-0.459907083,0.014492754
128,8192,1024,4096,0.406908,,,,,128,8192,1024,4096,0.0788902,0.139449,0.2183392,,-0.463418758,0.046920821
128,4096,2048,2048,0.351565,,,,,128,4096,2048,2048,0.157791,0.0297568,0.1875478,,-0.466534496,0.057142857
128,8192,128,4096,0.289271,,,,,128,8192,128,4096,0.0134061,0.139949,0.1533551,,-0.46985664,0.056313242
512,4096,2048,8192,1.09939,,,,,512,4096,2048,8192,0.152523,0.42526,0.577783,,-0.474451287,0.081632653
256,4096,1024,2048,0.247618,,,,,256,4096,1024,2048,0.0790829,0.0509558,0.1300387,,-0.47484149,0.13559322
256,4096,2048,2048,0.389195,,,,,256,4096,2048,2048,0.152703,0.0512509,0.2039539,,-0.475959609,0.105263158
512,4096,128,1024,0.119012,,,,,512,4096,128,1024,0.0133248,0.0487837,0.0621085,,-0.478132457,0.44137931
512,4096,1024,8192,0.970912,,,,,512,4096,1024,8192,0.0790182,0.423938,0.5029562,,-0.481975503,0.08988764
1024,2048,4096,2048,0.761007,,,,,1024,2048,4096,2048,0.296972,0.0914387,0.3884107,,-0.489609557,0.181818182
512,4096,128,8192,0.859411,,,,,512,4096,128,8192,0.0131562,0.423294,0.4364502,,-0.492151951,0.098613251
1024,1024,1024,2048,0.310213,,,,,1024,1024,1024,2048,0.0791034,0.0783082,0.1574116,,-0.492569299,0.25
128,4096,4096,8192,1.07831,,,,,128,4096,4096,8192,0.417377,0.12845,0.545827,,-0.49381254,0.01980198
128,2048,1024,2048,0.185809,,,,,128,2048,1024,2048,0.0777126,0.0157872,0.0934998,,-0.496796172,0.072727273
512,2048,1024,2048,0.261375,,,,,512,2048,1024,2048,0.0790976,0.048449,0.1275466,,-0.512016834,0.210526316
512,4096,128,2048,0.220548,,,,,512,4096,128,2048,0.0132624,0.094041,0.1073034,,-0.513469177,0.294930876
256,4096,128,1024,0.0831085,,,,,256,4096,128,1024,0.013431,0.0269267,0.0403577,,-0.514397444,0.294930876
512,1024,1024,2048,0.253916,,,,,512,1024,1024,2048,0.0810986,0.0421485,0.1232471,,-0.514614676,0.181818182
128,1024,1024,2048,0.18572,,,,,128,1024,1024,2048,0.0768179,0.0132368,0.0900547,,-0.515104997,0.068965517
1024,2048,1024,2048,0.353839,,,,,1024,2048,1024,2048,0.0787958,0.091967,0.1707628,,-0.517399721,0.307692308
256,2048,1024,2048,0.223363,,,,,256,2048,1024,2048,0.0809069,0.0267862,0.1076931,,-0.517856136,0.129032258
128,2048,4096,4096,0.67821,,,,,128,2048,4096,4096,0.296446,0.0297312,0.3261772,,-0.519061648,0.028571429
1024,2048,4096,4096,1.0675,,,,,1024,2048,4096,4096,0.298227,0.208438,0.506665,,-0.525372365,0.142857143
128,8192,1024,8192,0.679513,,,,,128,8192,1024,8192,0.0794333,0.240129,0.3195623,,-0.529718637,0.026622296
128,2048,2048,4096,0.39108,,,,,128,2048,2048,4096,0.151105,0.029751,0.180856,,-0.537547305,0.037735849
256,2048,4096,4096,0.784561,,,,,256,2048,4096,4096,0.310078,0.0510547,0.3611327,,-0.539700928,0.052631579
1024,2048,4096,8192,1.60607,,,,,1024,2048,4096,8192,0.296169,0.441756,0.737925,,-0.540539952,0.1
128,8192,128,8192,0.554613,,,,,128,8192,128,8192,0.013329,0.240472,0.253801,,-0.542381805,0.029405008
256,2048,2048,4096,0.459137,,,,,256,2048,2048,4096,0.157453,0.0512064,0.2086594,,-0.545540002,0.068965517
128,4096,128,1024,0.0642,,,,,128,4096,128,1024,0.0131334,0.0159805,0.0291139,,-0.546512461,0.177285319
1024,2048,1024,4096,0.633835,,,,,1024,2048,1024,4096,0.0788742,0.20852,0.2873942,,-0.546578841,0.210526316
128,1024,2048,4096,0.363054,,,,,128,1024,2048,4096,0.148404,0.0160189,0.1644229,,-0.547111724,0.035714286
256,4096,2048,4096,0.611162,,,,,256,4096,2048,4096,0.152671,0.123934,0.276605,,-0.547411325,0.072727273
1024,2048,2048,4096,0.801674,,,,,1024,2048,2048,4096,0.151915,0.209228,0.361143,,-0.549513892,0.181818182
256,1024,1024,2048,0.224278,,,,,256,1024,1024,2048,0.077864,0.023135,0.100999,,-0.549670498,0.117647059
1024,2048,2048,8192,1.34507,,,,,1024,2048,2048,8192,0.15215,0.441053,0.593203,,-0.55897983,0.117647059
128,1024,4096,8192,0.723866,,,,,128,1024,4096,8192,0.289494,0.029672,0.319166,,-0.559081377,0.018181818
512,1024,8192,4096,1.5172,,,,,512,1024,8192,4096,0.619618,0.0483994,0.6680174,,-0.559703796,0.052631579
256,2048,128,1024,0.0836627,,,,,256,2048,128,1024,0.0131082,0.0230038,0.036112,,-0.568362006,0.283185841
256,1024,128,1024,0.0839472,,,,,256,1024,128,1024,0.0130515,0.0231683,0.0362198,,-0.568540702,0.262295082
512,2048,2048,4096,0.578738,,,,,512,2048,2048,4096,0.154254,0.0936202,0.2478742,,-0.571698765,0.117647059
1024,2048,1024,8192,1.21598,,,,,1024,2048,1024,8192,0.0791434,0.439594,0.5187374,,-0.573399727,0.129032258
256,4096,1024,4096,0.479612,,,,,256,4096,1024,4096,0.0790586,0.123881,0.2029396,,-0.576867134,0.086021505
128,4096,2048,4096,0.541799,,,,,128,4096,2048,4096,0.157901,0.0696608,0.2275618,,-0.57998852,0.038834951
512,2048,4096,4096,0.947272,,,,,512,2048,4096,4096,0.299914,0.0940352,0.3939492,,-0.584122406,0.090909091
256,4096,128,2048,0.155738,,,,,256,4096,128,2048,0.01332,0.0514387,0.0647587,,-0.584181767,0.181303116
1024,2048,128,4096,0.534957,,,,,1024,2048,128,4096,0.0132426,0.208944,0.2221866,,-0.584664562,0.244274809
128,1024,8192,8192,1.47111,,,,,128,1024,8192,8192,0.579428,0.0297222,0.6091502,,-0.585924778,0.01369863
256,4096,128,4096,0.334301,,,,,256,4096,128,4096,0.0132147,0.124385,0.1375997,,-0.588395787,0.1024
512,1024,2048,4096,0.503698,,,,,512,1024,2048,4096,0.158657,0.048656,0.207313,,-0.58841806,0.1
1024,2048,128,8192,1.10505,,,,,1024,2048,128,8192,0.0133827,0.439668,0.4530507,,-0.590017918,0.140969163
128,2048,128,1024,0.0655997,,,,,128,2048,128,1024,0.0128787,0.0134557,0.0263344,,-0.59855914,0.172972973
256,1024,2048,4096,0.447484,,,,,256,1024,2048,4096,0.151068,0.0269402,0.1780082,,-0.60220209,0.0625
128,1024,128,1024,0.0659962,,,,,128,1024,128,1024,0.0128198,0.0132966,0.0261164,,-0.604274185,0.164948454
256,4096,2048,8192,0.957734,,,,,256,4096,2048,8192,0.1529,0.225617,0.378517,,-0.604778571,0.04494382
1024,1024,4096,4096,0.998766,,,,,1024,1024,4096,4096,0.300216,0.0917674,0.3919834,,-0.607532295,0.111111111
512,2048,4096,8192,1.36279,,,,,512,2048,4096,8192,0.299954,0.229711,0.529665,,-0.61133777,0.0625
512,2048,1024,4096,0.444499,,,,,512,2048,1024,4096,0.0789693,0.0936787,0.172648,,-0.611589677,0.137931034
1024,1024,2048,4096,0.630045,,,,,1024,1024,2048,4096,0.152536,0.0912067,0.2437427,,-0.613134459,0.142857143
1024,2048,128,2048,0.274672,,,,,1024,2048,128,2048,0.0134118,0.0914813,0.1048931,,-0.618115061,0.385542169
128,4096,1024,4096,0.397411,,,,,128,4096,1024,4096,0.0814832,0.0694723,0.1509555,,-0.620152688,0.046242775
1024,1024,128,2048,0.243855,,,,,1024,1024,128,2048,0.0131114,0.0790298,0.0921412,,-0.622147588,0.32
512,1024,8192,8192,1.92712,,,,,512,1024,8192,8192,0.616911,0.101558,0.718469,,-0.627179937,0.04
128,4096,128,2048,0.116097,,,,,128,4096,128,2048,0.0131328,0.0296906,0.0428234,,-0.631141201,0.1024
128,2048,1024,4096,0.293823,,,,,128,2048,1024,4096,0.0777366,0.0297238,0.1074604,,-0.63426825,0.04494382
256,4096,1024,8192,0.832733,,,,,256,4096,1024,8192,0.0793485,0.225051,0.3043995,,-0.634457263,0.049689441
256,1024,4096,8192,0.969397,,,,,256,1024,4096,8192,0.296759,0.0510166,0.3477756,,-0.641245434,0.032258065
256,1024,8192,8192,1.80525,,,,,256,1024,8192,8192,0.595869,0.0514477,0.6473167,,-0.641425454,0.024390244
256,2048,4096,8192,1.22221,,,,,256,2048,4096,8192,0.310028,0.123025,0.433053,,-0.645680366,0.035714286
128,4096,2048,8192,0.808826,,,,,128,4096,2048,8192,0.157738,0.128619,0.286357,,-0.6459597,0.023668639
256,2048,1024,4096,0.373669,,,,,256,2048,1024,4096,0.0810138,0.0511318,0.1321456,,-0.646356535,0.081632653
512,2048,2048,8192,1.09814,,,,,512,2048,2048,8192,0.153548,0.229883,0.383431,,-0.650835959,0.074074074
256,4096,128,8192,0.70802,,,,,256,4096,128,8192,0.0133869,0.226498,0.2398849,,-0.661189091,0.054747648
128,2048,4096,8192,1.08328,,,,,128,2048,4096,8192,0.295357,0.0692515,0.3646085,,-0.663421738,0.019230769
512,2048,128,2048,0.186759,,,,,512,2048,128,2048,0.0131923,0.0482179,0.0614102,,-0.671179434,0.273504274
1024,1024,4096,8192,1.59362,,,,,1024,1024,4096,8192,0.299857,0.223129,0.522986,,-0.671825153,0.076923077
128,4096,128,4096,0.25693,,,,,128,4096,128,4096,0.0131478,0.069561,0.0827088,,-0.678088195,0.055507372
512,2048,1024,8192,0.966518,,,,,512,2048,1024,8192,0.0789904,0.230403,0.3093934,,-0.679888631,0.081632653
128,1024,1024,4096,0.292447,,,,,128,1024,1024,4096,0.0767101,0.0159395,0.0926496,,-0.683191826,0.042553191
1024,1024,1024,4096,0.5435,,,,,1024,1024,1024,4096,0.0794374,0.0913331,0.1707705,,-0.685794848,0.166666667
128,4096,1024,8192,0.672704,,,,,128,4096,1024,8192,0.0812675,0.127876,0.2091435,,-0.689100258,0.026229508
128,1024,2048,8192,0.577634,,,,,128,1024,2048,8192,0.146782,0.0298067,0.1765887,,-0.694289637,0.02173913
512,1024,1024,4096,0.428676,,,,,512,1024,1024,4096,0.0812998,0.048775,0.1300748,,-0.696566171,0.117647059
512,1024,4096,8192,1.35731,,,,,512,1024,4096,8192,0.307985,0.10224,0.410225,,-0.69776617,0.052631579
512,1024,128,2048,0.186442,,,,,512,1024,128,2048,0.0132317,0.0419542,0.0551859,,-0.704004999,0.23880597
256,2048,2048,8192,0.950616,,,,,256,2048,2048,8192,0.157272,0.123585,0.280857,,-0.704552627,0.042553191
512,2048,128,4096,0.365643,,,,,512,2048,128,4096,0.0133635,0.0934166,0.1067801,,-0.70796624,0.162436548
512,2048,128,8192,0.850111,,,,,512,2048,128,8192,0.0132285,0.229806,0.2430345,,-0.714114392,0.089635854
1024,1024,2048,8192,1.3271,,,,,1024,1024,2048,8192,0.152582,0.224514,0.377096,,-0.715849597,0.090909091
256,1024,1024,4096,0.370417,,,,,256,1024,1024,4096,0.0780534,0.0269101,0.1049635,,-0.716634226,0.074074074
256,1024,2048,8192,0.738507,,,,,256,1024,2048,8192,0.151604,0.0515053,0.2031093,,-0.724973088,0.038461538
128,2048,2048,8192,0.803128,,,,,128,2048,2048,8192,0.151641,0.0689952,0.2206362,,-0.725278909,0.022988506
512,1024,2048,8192,0.971698,,,,,512,1024,2048,8192,0.159676,0.102229,0.261905,,-0.730466668,0.0625
256,2048,128,2048,0.155784,,,,,256,2048,128,2048,0.0132,0.0269139,0.0401139,,-0.742503081,0.172972973
128,4096,128,8192,0.555962,,,,,128,4096,128,8192,0.0133635,0.127902,0.1412655,,-0.745907994,0.028972386
1024,1024,1024,8192,1.19321,,,,,1024,1024,1024,8192,0.0789331,0.223245,0.3021781,,-0.746751955,0.1
256,2048,1024,8192,0.825264,,,,,256,2048,1024,8192,0.0809088,0.123303,0.2042118,,-0.75254973,0.047058824
128,2048,128,2048,0.118604,,,,,128,2048,128,2048,0.012865,0.0158592,0.0287242,,-0.757814239,0.099688474
256,1024,128,2048,0.154459,,,,,256,1024,128,2048,0.0128589,0.0232022,0.0360611,,-0.766532866,0.158415842
128,2048,1024,8192,0.631581,,,,,128,2048,1024,8192,0.0775923,0.068985,0.1465773,,-0.767920029,0.025477707
512,1024,1024,8192,0.816301,,,,,512,1024,1024,8192,0.081297,0.101474,0.182771,,-0.776098522,0.068965517
128,1024,128,2048,0.119551,,,,,128,1024,128,2048,0.0129597,0.0133757,0.0263354,,-0.779714097,0.094674556
1024,1024,128,8192,1.072,,,,,1024,1024,128,8192,0.0132662,0.222804,0.2360702,,-0.779785261,0.109589041
1024,1024,128,4096,0.476619,,,,,1024,1024,128,4096,0.0132915,0.0913856,0.1046771,,-0.78037573,0.195121951
256,2048,128,4096,0.302694,,,,,256,2048,128,4096,0.0131334,0.0511696,0.064303,,-0.787564339,0.097264438
128,1024,1024,8192,0.507547,,,,,128,1024,1024,8192,0.0766995,0.029543,0.1062425,,-0.790674558,0.024096386
256,2048,128,8192,0.693672,,,,,256,2048,128,8192,0.0131027,0.123035,0.1361377,,-0.803743412,0.051863857
256,1024,1024,8192,0.664764,,,,,256,1024,1024,8192,0.0776941,0.0509885,0.1286826,,-0.806423633,0.042553191
128,2048,128,4096,0.225165,,,,,128,2048,128,4096,0.0128838,0.0297754,0.0426592,,-0.810542491,0.053962901
512,1024,128,4096,0.36122,,,,,512,1024,128,4096,0.0130259,0.0482906,0.0613165,,-0.830251647,0.139130435
512,1024,128,8192,0.708738,,,,,512,1024,128,8192,0.0131789,0.101394,0.1145729,,-0.838342378,0.075829384
128,2048,128,8192,0.531054,,,,,128,2048,128,8192,0.0130467,0.0694243,0.082471,,-0.844703175,0.028144239
256,1024,128,4096,0.299543,,,,,256,1024,128,4096,0.0128634,0.0271082,0.0399716,,-0.866558057,0.08839779
128,1024,128,4096,0.2265,,,,,128,1024,128,4096,0.012967,0.0159962,0.0289632,,-0.872127152,0.051118211
256,1024,128,8192,0.598566,,,,,256,1024,128,8192,0.0130579,0.0513126,0.0643705,,-0.89245881,0.046920821
128,1024,128,8192,0.438049,,,,,128,1024,128,8192,0.0129494,0.0295437,0.0424931,,-0.902994642,0.026622296
